step,avg_rent,avg_travel,share_low_income,gentr_dispersion,displacements,vacancy_rate,aff_units,mkt_units,total_units
0,513.4800514682213,15.675065328396824,0.4492499998876875,0.2599775747508306,2892,0.05660377358490565,3072,1168,4240
1,505.8416248129211,15.872158738924306,0.4482499998879375,0.2812106135986733,2566,0.1071428571428571,3144,1336,4480
2,498.78706090483854,15.873383565036484,0.447999999888,0.30066250000000005,2526,0.15254237288135597,3216,1504,4720
3,493.5099682809092,15.875037083265896,0.4477499998880625,0.28724049586776856,2387,0.19354838709677424,3288,1672,4960
4,485.90002046959273,15.963225267175112,0.446499999888375,0.2907524752475249,2316,0.23076923076923073,3360,1840,5200
5,477.5934761073539,16.038440362080003,0.4457499998885625,0.295627887788779,2103,0.2647058823529411,3432,2008,5440
6,469.809025937567,16.100920719061055,0.4452499998886875,0.31108881578947367,1920,0.295774647887324,3504,2176,5680
7,462.0507567436035,16.027979217580288,0.444499999888875,0.3143453947368421,1826,0.32432432432432434,3576,2344,5920
8,452.62502280617105,16.114362322501663,0.4442499998889375,0.3160848434925865,1811,0.35064935064935066,3648,2512,6160
9,443.7057212178498,16.005171575553806,0.44474999988881253,0.311341021416804,1785,0.375,3720,2680,6400
10,432.40876168079893,16.033234371944168,0.44499999988875,0.3058805237315877,1791,0.38650306748466257,3756,2764,6520
11,420.4087555758988,16.01184268809035,0.4437499998890625,0.2967868852459017,1785,0.3975903614457831,3792,2848,6640
12,408.29184245628016,15.994998531454623,0.44299999988925004,0.29716639344262297,1771,0.4002998500749625,3801,2869,6670
13,396.8733202764758,16.001297887381252,0.4427499998893125,0.2893094462540716,1784,0.40828402366863903,3828,2932,6760
14,385.2816725881286,15.982077690580331,0.442499999889375,0.2762,1760,0.40828402366863903,3828,2932,6760
15,374.015836217209,15.970531735988317,0.44174999988956254,0.28114910858995146,1765,0.40828402366863903,3828,2932,6760
16,363.2560994225978,16.00850076708077,0.4412499998896875,0.26587722132471725,1780,0.40828402366863903,3828,2932,6760
17,354.2615549214499,15.917924806293001,0.4407499998898125,0.26721521035598705,1762,0.40828402366863903,3828,2932,6760
18,344.44373513559304,15.98546335182135,0.4402499998899375,0.2717250803858522,1769,0.4108983799705449,3837,2953,6790
19,337.1158862789601,15.988187581860503,0.43899999989025,0.26443418940609953,1758,0.4108983799705449,3837,2953,6790
20,330.48119309631755,15.929189994935777,0.4387499998903125,0.26526762820512817,1745,0.4108983799705449,3837,2953,6790
21,324.9027484707378,16.0255085119766,0.43899999989025,0.2631557507987221,1723,0.4108983799705449,3837,2953,6790
22,320.45852163079775,16.00623866109126,0.4377499998905625,0.2750832000000002,1723,0.4108983799705449,3837,2953,6790
23,315.2241665422553,16.02853976926692,0.43699999989075,0.28695548489666134,1641,0.4108983799705449,3837,2953,6790
24,310.18700245340364,15.845628712444105,0.435999999891,0.30191587301587297,1493,0.4108983799705449,3837,2953,6790
25,306.50396751532224,15.879527672807043,0.435999999891,0.30638985736925517,1352,0.4108983799705449,3837,2953,6790
26,304.5148892255512,15.882975814312916,0.43549999989112503,0.3175595238095239,1284,0.4108983799705449,3837,2953,6790
27,301.57703922292114,16.073338238973438,0.43424999989143753,0.32854856687898093,1188,0.4108983799705449,3837,2953,6790
28,299.1852942980252,16.100623835916124,0.43424999989143753,0.34970793650793675,1026,0.4108983799705449,3837,2953,6790
29,299.6758974945953,16.019528528961267,0.4332499998916875,0.34149840510366825,1104,0.4108983799705449,3837,2953,6790
30,298.2215774863452,16.067234476237548,0.4332499998916875,0.3596571428571429,981,0.4108983799705449,3837,2953,6790
31,298.9511860956612,15.874348040315812,0.4332499998916875,0.3499747634069401,1022,0.4108983799705449,3837,2953,6790
32,298.1039812608499,16.042540192033538,0.43299999989175003,0.3511745283018868,1002,0.4108983799705449,3837,2953,6790
33,298.86484571281596,15.950682761022888,0.4327499998918125,0.34868838304552585,936,0.4108983799705449,3837,2953,6790
34,300.53733330726703,15.953968750321515,0.43174999989206253,0.3254042386185244,1052,0.4108983799705449,3837,2953,6790
35,299.84233252926543,15.994462741749967,0.431499999892125,0.34509937402190927,1042,0.4108983799705449,3837,2953,6790
36,299.019044977896,16.022244192861194,0.43099999989225,0.3527970219435739,1002,0.4108983799705449,3837,2953,6790
37,299.12784849986775,15.842532351548906,0.43049999989237503,0.3281379844961241,1036,0.4108983799705449,3837,2953,6790
38,299.8837843089713,15.850958663954572,0.43049999989237503,0.3101661514683153,1142,0.4108983799705449,3837,2953,6790
39,296.60456491500764,15.862673116837069,0.4307499998923125,0.34146153846153837,949,0.4108983799705449,3837,2953,6790
40,297.11488419959886,15.969560735717344,0.42999999989250004,0.34266385911179165,925,0.4108983799705449,3837,2953,6790
41,297.19033168248086,16.137518979560834,0.42924999989268753,0.3514502297090353,933,0.4108983799705449,3837,2953,6790
42,297.0280559179208,16.122862398875476,0.427999999893,0.3707155963302753,765,0.4108983799705449,3837,2953,6790
43,298.42350755939526,16.002778664198022,0.4267499998933125,0.35540825688073396,916,0.4108983799705449,3837,2953,6790
44,298.4560524858046,15.86089862805574,0.425499999893625,0.3478264525993885,953,0.4108983799705449,3837,2953,6790
45,297.9290425893951,15.889462844788293,0.42499999989375004,0.3376499238964993,939,0.4108983799705449,3837,2953,6790
46,298.4910528962366,15.896611700097825,0.42374999989406253,0.3341811263318113,945,0.4108983799705449,3837,2953,6790
47,297.25139924459586,15.9267182800745,0.423499999894125,0.3440296803652968,866,0.4108983799705449,3837,2953,6790
48,298.07795059272377,15.950359498862806,0.4232499998941875,0.3358969696969698,910,0.4108983799705449,3837,2953,6790
49,299.17480960127637,15.922072528797592,0.42299999989425,0.30661463046757165,1071,0.4108983799705449,3837,2953,6790
50,296.5441311812645,16.045277132930813,0.4227499998943125,0.338321212121212,866,0.4108983799705449,3837,2953,6790
51,297.2060414971767,16.030892539292395,0.4219999998945,0.3514947209653093,819,0.4108983799705449,3837,2953,6790
52,296.6780779043112,15.985776919527714,0.421499999894625,0.36161879699248123,826,0.4108983799705449,3837,2953,6790
53,297.6937782033287,15.97850666326734,0.4219999998945,0.35959834834834836,801,0.4108983799705449,3837,2953,6790
54,299.72458709130206,15.76988618114515,0.4217499998945625,0.33421546546546543,916,0.4108983799705449,3837,2953,6790
55,300.438766408265,15.782411039611146,0.4207499998948125,0.3211259370314843,991,0.4108983799705449,3837,2953,6790
56,301.35798162907315,15.606985347950252,0.41999999989500003,0.2847847533632286,1092,0.4108983799705449,3837,2953,6790
57,299.8167542786768,15.799045518043437,0.41999999989500003,0.29964776119403,1017,0.4108983799705449,3837,2953,6790
58,298.5904812288252,15.811549983676866,0.4192499998951875,0.31958740740740743,934,0.4108983799705449,3837,2953,6790
59,297.49772565513575,15.805470952641183,0.4197499998950625,0.3349178994082841,836,0.4108983799705449,3837,2953,6790
60,299.1165789682882,15.951670749211047,0.4192499998951875,0.32173520710059167,966,0.4108983799705449,3837,2953,6790
61,296.126689195404,16.09873600571419,0.4177499998955625,0.3408274336283186,788,0.4108983799705449,3837,2953,6790
62,295.2204368240269,16.093664428693145,0.41624999989593753,0.35979838709677425,662,0.4108983799705449,3837,2953,6790
63,294.47571691387736,16.0510393216949,0.41624999989593753,0.37644590643274856,606,0.4108983799705449,3837,2953,6790
64,294.8652343346221,15.861566686954466,0.41624999989593753,0.3700737226277373,621,0.4108983799705449,3837,2953,6790
65,295.82311512584477,15.852638742331857,0.415999999896,0.36185276967930025,708,0.4108983799705449,3837,2953,6790
66,295.2700086633395,15.847050871655794,0.41499999989625,0.38105320699708456,596,0.4108983799705449,3837,2953,6790
67,296.4056066033502,15.931637133194284,0.41499999989625,0.36167561683599425,643,0.4108983799705449,3837,2953,6790
68,296.71815017997255,15.848302595124272,0.415499999896125,0.35401884057971,709,0.4108983799705449,3837,2953,6790
69,296.2526694819587,15.89945026577284,0.4152499998961875,0.3700782608695652,615,0.4108983799705449,3837,2953,6790
70,297.26615702041505,15.832590238681338,0.41449999989637504,0.3523802612481859,733,0.4108983799705449,3837,2953,6790
71,297.58805420705,15.878818841188634,0.41324999989668754,0.33995784883720936,787,0.4108983799705449,3837,2953,6790
