step,avg_rent,avg_travel,share_low_income,gentr_dispersion,displacements,vacancy_rate,aff_units,mkt_units,total_units
0,485.3270832989116,15.863287615436978,0.44899999988775,0.2653297342192692,2709,0.05660377358490565,3072,1168,4240
1,474.8935631884013,16.001724691740684,0.44849999988787503,0.2862321131447586,2343,0.1071428571428571,3144,1336,4480
2,471.3670211397806,16.013004449178585,0.4487499998878125,0.30704063018242134,2153,0.15254237288135597,3216,1504,4720
3,466.1850300647134,16.009545695010743,0.44849999988787503,0.3244245901639343,1990,0.19354838709677424,3288,1672,4960
4,461.5515304763404,16.00214614429142,0.4477499998880625,0.31429411764705895,1871,0.23076923076923073,3360,1840,5200
5,457.054368144344,16.01947239395712,0.4467499998883125,0.31280668841761816,1840,0.2647058823529411,3432,2008,5440
6,449.5635016131374,16.072706030201633,0.4467499998883125,0.3162831423895254,1807,0.295774647887324,3504,2176,5680
7,442.3783023860837,16.008683034052567,0.4467499998883125,0.30269249592169667,1796,0.32432432432432434,3576,2344,5920
8,433.27614868487376,15.994899069700873,0.446499999888375,0.2982495921696574,1797,0.35064935064935066,3648,2512,6160
9,421.4928478035049,15.985241426111006,0.446499999888375,0.3074689034369885,1778,0.375,3720,2680,6400
10,410.4853042533761,16.016751876103616,0.4457499998885625,0.27896103896103897,1774,0.3836671802773498,3747,2743,6490
11,398.79898075888343,16.02043795018928,0.4452499998886875,0.2777936893203884,1779,0.38650306748466257,3756,2764,6520
12,387.5212730699196,15.980497287154634,0.44349999988912503,0.2850273311897107,1775,0.38650306748466257,3756,2764,6520
13,376.60160981456437,15.997808057128708,0.4419999998895,0.274141826923077,1778,0.38650306748466257,3756,2764,6520
14,366.2454207320858,15.972567241641555,0.441499999889625,0.27452564102564103,1783,0.39209726443769,3774,2806,6580
15,355.2401129485219,15.97958276784616,0.4412499998896875,0.26795906902086675,1760,0.39209726443769,3774,2806,6580
16,345.51974576959515,15.9628707305641,0.44049999988987504,0.2544951845906902,1773,0.39209726443769,3774,2806,6580
17,336.2323484037848,15.998238297557041,0.4407499998898125,0.25395215311004793,1760,0.39209726443769,3774,2806,6580
18,329.3054112422897,15.960124792491913,0.4397499998900625,0.24663153724247233,1761,0.39209726443769,3774,2806,6580
19,323.0132313283814,15.919599285215554,0.4387499998903125,0.2609066455696203,1756,0.3948562783661119,3783,2827,6610
20,316.93149025658823,15.917169340394834,0.438499999890375,0.25049446202531656,1730,0.3948562783661119,3783,2827,6610
21,310.8311753555333,16.06049791244054,0.4377499998905625,0.26477646129541865,1658,0.3948562783661119,3783,2827,6610
22,305.50012422978824,16.06817370649024,0.43674999989081253,0.2937622047244096,1502,0.3948562783661119,3783,2827,6610
23,297.52270423870226,16.1460986722097,0.43699999989075,0.34671226415094336,1140,0.3948562783661119,3783,2827,6610
24,292.25951971225413,16.1140202546697,0.43674999989081253,0.3789460093896714,879,0.3948562783661119,3783,2827,6610
25,289.72020647245375,16.130063330040517,0.43674999989081253,0.4044003139717425,716,0.3948562783661119,3783,2827,6610
26,288.7964568110665,16.06665135913964,0.436499999890875,0.396443925233645,765,0.3948562783661119,3783,2827,6610
27,286.5944767207841,16.213695021782705,0.435999999891,0.4019303405572755,715,0.3948562783661119,3783,2827,6610
28,284.8437800395287,16.2655380589183,0.43549999989112503,0.4155779320987656,581,0.3948562783661119,3783,2827,6610
29,284.3717077020396,16.16256806753558,0.4347499998913125,0.4267492331288344,524,0.3948562783661119,3783,2827,6610
30,287.5429832210229,15.938330538225769,0.4337499998915625,0.3877419601837673,799,0.3948562783661119,3783,2827,6610
31,285.54720021996474,16.067258725119423,0.4337499998915625,0.39295628834355834,714,0.3948562783661119,3783,2827,6610
32,284.91112766430706,16.109786459895112,0.4327499998918125,0.4057776073619632,671,0.3948562783661119,3783,2827,6610
33,283.8383470820146,16.227276023270676,0.4322499998919375,0.41985681470137826,635,0.3948562783661119,3783,2827,6610
34,282.9076444135193,16.29684998746593,0.43049999989237503,0.42665591397849456,538,0.3948562783661119,3783,2827,6610
35,281.52873548936134,16.307625461147026,0.4302499998924375,0.4448666158536584,454,0.3948562783661119,3783,2827,6610
36,280.87829452111515,16.371835176026988,0.43049999989237503,0.4608320610687022,304,0.3948562783661119,3783,2827,6610
37,282.81384169756984,16.250234466702455,0.42924999989268753,0.45162518968133536,395,0.3948562783661119,3783,2827,6610
38,285.31525121772535,16.11986143430213,0.42924999989268753,0.3887345399698343,722,0.3948562783661119,3783,2827,6610
39,285.61188324768403,16.04101935430656,0.42999999989250004,0.37507379518072304,773,0.3948562783661119,3783,2827,6610
40,283.42776939247835,16.101031882246737,0.429499999892625,0.3955615615615615,643,0.3948562783661119,3783,2827,6610
41,282.1323614639283,16.150792317748312,0.42899999989275,0.41502852852852845,461,0.3948562783661119,3783,2827,6610
42,283.242065711957,16.109767439696192,0.42899999989275,0.4019237668161435,638,0.3948562783661119,3783,2827,6610
43,282.3524401020081,16.157117477088583,0.428499999892875,0.4111666666666667,545,0.3948562783661119,3783,2827,6610
44,282.43128211521963,16.203092104052182,0.4277499998930625,0.4024068554396424,603,0.3948562783661119,3783,2827,6610
45,281.6121230863503,16.222405375851245,0.42699999989325,0.4058105497771174,551,0.3948562783661119,3783,2827,6610
46,280.24308243008846,16.29962927855089,0.42499999989375004,0.415477002967359,430,0.3948562783661119,3783,2827,6610
47,280.10308779342705,16.33860805503362,0.4242499998939375,0.4322800000000001,298,0.3948562783661119,3783,2827,6610
48,281.62361121899534,16.129430892926717,0.423499999894125,0.40042444444444447,486,0.3948562783661119,3783,2827,6610
49,281.8383282704287,16.097525672714326,0.4242499998939375,0.39726962962962964,445,0.3948562783661119,3783,2827,6610
50,282.77480639479535,16.07068048500707,0.42374999989406253,0.3988703703703703,496,0.3948562783661119,3783,2827,6610
51,282.6385027408795,16.09829156587078,0.4227499998943125,0.4009970544918998,443,0.3948562783661119,3783,2827,6610
52,284.12932989551484,16.193512115458294,0.423499999894125,0.39469750367107204,472,0.3948562783661119,3783,2827,6610
53,284.22134474873275,16.180561362767982,0.4227499998943125,0.40345735294117635,503,0.3948562783661119,3783,2827,6610
54,284.74160954824487,16.191845335492083,0.4219999998945,0.3939963343108507,528,0.3948562783661119,3783,2827,6610
55,284.37679915042725,16.017895062815615,0.42249999989437503,0.3873243045387994,490,0.3948562783661119,3783,2827,6610
56,284.60158618466085,16.03726367027509,0.4222499998944375,0.3920443959243086,572,0.3948562783661119,3783,2827,6610
57,285.1398691486577,16.076112489938506,0.42124999989468753,0.37667655571635306,595,0.3948562783661119,3783,2827,6610
58,284.0795115553862,16.055442902876496,0.42124999989468753,0.3890679190751445,522,0.3948562783661119,3783,2827,6610
59,283.2521609638128,16.09574414821049,0.42124999989468753,0.40995677233429384,445,0.3948562783661119,3783,2827,6610
60,283.7001146912925,16.085395841234185,0.42124999989468753,0.40411063218390797,545,0.3948562783661119,3783,2827,6610
61,281.531584810297,16.11857508321899,0.42124999989468753,0.4202205459770114,409,0.3948562783661119,3783,2827,6610
62,280.0835250799049,16.160014359879455,0.4217499998945625,0.435666904422254,291,0.3948562783661119,3783,2827,6610
63,280.8622439541921,16.067649716187425,0.4207499998948125,0.41995726495726504,414,0.3948562783661119,3783,2827,6610
64,280.24849670955626,16.107256916898088,0.42124999989468753,0.427131914893617,312,0.3948562783661119,3783,2827,6610
65,279.6763087910677,16.138881249165742,0.420499999894875,0.43147104519774016,287,0.3948562783661119,3783,2827,6610
66,279.538096234813,16.17378830525499,0.4197499998950625,0.4370225669957686,302,0.3948562783661119,3783,2827,6610
67,279.3559240369604,16.20011973682619,0.41874999989531253,0.43898940677966103,199,0.3948562783661119,3783,2827,6610
68,279.6091458709828,16.326355967855488,0.41874999989531253,0.4230007032348805,247,0.3948562783661119,3783,2827,6610
69,279.4485573774149,16.342509142803422,0.418499999895375,0.425921458625526,180,0.3948562783661119,3783,2827,6610
70,279.612159761708,16.362363376749645,0.4177499998955625,0.4339930264993026,170,0.3948562783661119,3783,2827,6610
71,280.4728694184523,16.365059440306158,0.4177499998955625,0.4336808066759389,180,0.3948562783661119,3783,2827,6610
72,281.0560371126227,16.369781324503126,0.41749999989562503,0.43189707927677334,214,0.3948562783661119,3783,2827,6610
73,283.3359908879795,16.15548508159566,0.4177499998955625,0.3747867036011081,496,0.3948562783661119,3783,2827,6610
74,282.52750861528665,16.141629084544707,0.41749999989562503,0.38610788381742744,449,0.3948562783661119,3783,2827,6610
75,281.370660973055,16.143524209606788,0.41699999989575004,0.3987320441988951,366,0.3948562783661119,3783,2827,6610
76,280.1090396130215,16.214462161776066,0.41624999989593753,0.4072747252747253,257,0.3948562783661119,3783,2827,6610
77,280.79297164805786,16.20745395512595,0.415999999896,0.41214766483516485,233,0.3948562783661119,3783,2827,6610
78,280.67571192872055,16.184572737549544,0.4152499998961875,0.4095034199726403,229,0.3948562783661119,3783,2827,6610
79,281.36129735718083,16.146653365200965,0.41449999989637504,0.40598910081743866,235,0.3948562783661119,3783,2827,6610
80,282.7525373695137,16.083798514555706,0.41499999989625,0.3781837837837839,409,0.3948562783661119,3783,2827,6610
81,282.01067736178214,16.07325527181173,0.4139999998965,0.3885377358490568,361,0.3948562783661119,3783,2827,6610
82,282.77146128874193,15.79916907764493,0.413499999896625,0.35511357526881715,455,0.3948562783661119,3783,2827,6610
83,281.4120580204559,15.886500998055512,0.4137499998965625,0.3704586666666668,321,0.3948562783661119,3783,2827,6610
84,281.1040518482292,15.831833578370421,0.413499999896625,0.37935628342245997,246,0.3948562783661119,3783,2827,6610
85,282.01507247121896,15.762359643002203,0.41324999989668754,0.3643373333333334,352,0.3948562783661119,3783,2827,6610
86,281.5617263068088,15.776055955259995,0.41299999989675,0.37695750332005307,233,0.3948562783661119,3783,2827,6610
87,282.1112363208334,15.739782232095695,0.41199999989700004,0.37126357615894034,332,0.3948562783661119,3783,2827,6610
88,281.8620241831945,15.677467864670774,0.411499999897125,0.3690802387267904,327,0.3948562783661119,3783,2827,6610
89,281.3256764876478,15.72347379988902,0.41074999989731253,0.38433841059602647,226,0.3948562783661119,3783,2827,6610
90,281.70856251441967,15.706187805358933,0.4097499998975625,0.37595712401055414,241,0.3948562783661119,3783,2827,6610
91,282.1707648265187,15.724941930640787,0.4097499998975625,0.38039445910290237,203,0.3948562783661119,3783,2827,6610
92,283.7899632237918,15.926067807289096,0.4087499998978125,0.34175989445910293,428,0.3948562783661119,3783,2827,6610
93,283.7456639649057,15.948444062069358,0.4087499998978125,0.3415743421052633,472,0.3948562783661119,3783,2827,6610
94,281.5151734008642,15.989251594363093,0.4077499998980625,0.36634034165571616,331,0.3948562783661119,3783,2827,6610
95,281.5821723365517,15.983313402967548,0.40699999989825003,0.37344152431011823,285,0.3948562783661119,3783,2827,6610
