Escenario,Renta promedio,Tiempo de viaje promedio,Proporción bajos ingresos,Dispersión gentrificación,Tasa de vacancia,Unidades asequibles,Unidades de mercado,Unidades totales,Desplazamientos acumulados
B0,294.9985810456109,15.41631456003197,0.3467499999133125,0.3180936147186148,0.4002998500749625,3807.0,2863.0,6670.0,157027
S1,280.7737378325874,15.680505032308234,0.356499999910875,0.3354649827784157,0.3865030674846625,3756.0,2764.0,6520.0,110801
S2,282.6766646161026,15.87158175383062,0.3842499999039375,0.3495818713450292,0.3975903614457831,3798.0,2842.0,6640.0,92926
S3,302.2825106386806,15.577975400254688,0.3477499999130625,0.3238146551724137,0.416058394160584,3867.0,2983.0,6850.0,197134
