step,avg_rent,avg_travel,share_low_income,gentr_dispersion,displacements,vacancy_rate,aff_units,mkt_units,total_units
0,476.45917367038606,15.91259170936145,0.44899999988775,0.23630150753768842,2766,0.05660377358490565,3072,1168,4240
1,466.4761759977817,16.009408849963467,0.44899999988775,0.28099916387959867,2404,0.1071428571428571,3144,1336,4480
2,460.4983002040504,16.075111672265322,0.4487499998878125,0.2825719063545151,2112,0.15254237288135597,3216,1504,4720
3,454.34738310586243,16.14683322824043,0.4482499998879375,0.3122275747508306,1981,0.19354838709677424,3288,1672,4960
4,450.72114123373905,16.173314716874184,0.4477499998880625,0.30444841930116473,1864,0.23076923076923073,3360,1840,5200
5,446.09834630074,16.099539054683635,0.44699999988825,0.3002774086378738,1815,0.2647058823529411,3432,2008,5440
6,440.71189796309795,16.044746196043743,0.4467499998883125,0.2990240066225165,1797,0.295774647887324,3504,2176,5680
7,432.38664970972513,16.097594792605527,0.4462499998884375,0.2833768472906404,1796,0.32432432432432434,3576,2344,5920
8,422.86383531274976,16.111070818988594,0.444499999888875,0.2864244663382596,1778,0.35064935064935066,3648,2512,6160
9,413.0034812194879,16.07595223227841,0.44474999988881253,0.28243338815789476,1776,0.375,3720,2680,6400
10,402.3684042261917,16.06903028507149,0.443999999889,0.2842795081967213,1781,0.37791601866251945,3729,2701,6430
11,391.11319838507364,16.049352317560366,0.4437499998890625,0.28723856209150334,1781,0.37791601866251945,3729,2701,6430
12,381.31518588067604,16.035587064951923,0.443999999889,0.2728368506493506,1779,0.3808049535603715,3738,2722,6460
13,370.20453529571415,16.04091558682251,0.44299999988925004,0.2786084142394821,1774,0.3808049535603715,3738,2722,6460
14,359.8598558093713,16.026837784920748,0.4419999998895,0.2733535598705502,1775,0.3836671802773498,3747,2743,6490
15,349.66757390160063,16.042172760925247,0.4412499998896875,0.2589220257234728,1758,0.38650306748466257,3756,2764,6520
16,339.8399583144335,16.061592810051987,0.4407499998898125,0.2701816720257234,1767,0.38650306748466257,3756,2764,6520
17,330.5986535845122,16.0281051189504,0.4397499998900625,0.2676217948717947,1757,0.38650306748466257,3756,2764,6520
18,323.25259347569136,16.012805243277107,0.43999999989,0.2610350318471337,1763,0.38650306748466257,3756,2764,6520
19,316.75777530800616,16.04159828697569,0.4397499998900625,0.2519140127388534,1763,0.38650306748466257,3756,2764,6520
20,310.64208947812443,16.074566515255373,0.43899999989025,0.2524626984126983,1690,0.38650306748466257,3756,2764,6520
21,305.5617135596858,16.049385917427777,0.438499999890375,0.26760555555555565,1551,0.38650306748466257,3756,2764,6520
